"Campaign name","Campaign ID",Placement,Platform,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Ad delivery","Ad set delivery","Campaign delivery","Result rate","Cost per messaging conversation started","Reporting starts","Reporting ends"
"MMU - New",6673302606797,Feed,instagram,inactive,campaign,6396,7603,1.18871169,"7-day click or 1-day view","Messaging conversations started",6,497.58,82.93,,,38,13.09421053,65.44521899,0.64448244,,6,,,,,,,inactive,0.07891622,82.93,2023-07-20,2026-08-19
"CU Oonline - MAY 2025",6699345212397,"Instagram Stories",instagram,inactive,campaign,6759,7826,1.15786359,"7-day click or 1-day view","Messaging conversations started",2,470.12744727,235.06372363,,,15,31.34182982,60.07250796,0.35778175,,2,,,,,,,inactive,0.02555584,235.06372363,2023-07-20,2026-08-19
"LPU Page Ads - May 2025",6699045369797,"Instagram Reels",instagram,inactive,campaign,20368,23069,1.13260998,"7-day click or 1-day view","Messaging conversations started",2,448.53,224.265,,,29,15.46655172,19.44297542,0.22541072,,2,,,,,,,inactive,0.00866964,224.265,2023-07-20,2026-08-19
"LPU - Sept",6804632076597,"Facebook Stories",facebook,inactive,campaign,4925,7578,1.5386802,"7-day click or 1-day view","Messaging conversations started",2,442.91268449,221.45634224,,,54,8.20208675,58.44717399,0.75217736,,2,,,,,,,inactive,0.02639219,221.45634224,2023-07-20,2026-08-19
"CU Oonline - MAY 2025",6699345212397,Feed,facebook,inactive,campaign,1970,3202,1.62538071,"7-day click or 1-day view","Messaging conversations started",6,442.51821723,73.75303621,,,18,24.5843454,138.20056753,1.06183635,,6,,,,,,,inactive,0.18738289,73.75303621,2023-07-20,2026-08-19
"FB - March 2026",6882906768197,"Instagram Reels",instagram,inactive,campaign,17872,20316,1.13675022,"7-day click or 1-day view","Messaging conversations started",8,433.78937499,54.22367187,,,144,3.01242622,21.35210548,0.78755661,,8,,,,,,,inactive,0.03937783,54.22367187,2023-07-20,2026-08-19
"FB - March 2026 – Copy",6882908660797,Feed,facebook,inactive,campaign,3842,5034,1.31025508,"7-day click or 1-day view","Messaging conversations started",9,430.87,47.87444444,,,38,11.33868421,85.59197457,1.09257052,,9,,,,,,,inactive,0.17878427,47.87444444,2023-07-20,2026-08-19
"LPU Punjab",6641565898197,"In-stream reels",facebook,inactive,campaign,60849,88765,1.458775,"7-day click or 1-day view","Link clicks",651,403.80780335,0.62028848,,,651,0.62028848,4.5491782,0.73339717,,,,,,,,,inactive,0.73339717,,2023-07-20,2026-08-19
"MMU - New",6673302606797,Feed,facebook,inactive,campaign,3732,4713,1.26286174,"7-day click or 1-day view","Messaging conversations started",4,402.44,100.61,,,35,11.49828571,85.38934861,1.16698494,,4,,,,,,,inactive,0.08487163,100.61,2023-07-20,2026-08-19
"LPU Distance Education Patiala",6668282295797,"Facebook Reels",facebook,inactive,campaign,6848,11871,1.73349883,"7-day click or 1-day view","Messaging conversations started",1,400.97720575,400.97720575,,,15,26.73181372,33.77787935,0.37065117,,1,,,,,,,inactive,0.00842389,400.97720575,2023-07-20,2026-08-19
