"Ad set name","Ad ID",Age,Gender,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Reporting starts","Reporting ends"
"Ad set 1",6959678385597,18-24,female,not_delivering,ad,77632,153624,1.97887469,"7-day click or 1-day view","Messaging conversations started",25,3585.38,143.4152,2026-06-14,Ongoing,463,7.7438013,23.33867104,0.38275269,,25,,,,,2023-07-20,2026-08-19
"Ad set 1",6959678385597,25-34,female,not_delivering,ad,53440,99207,1.85641841,"7-day click or 1-day view","Messaging conversations started",18,3581.31,198.96166667,2026-06-14,Ongoing,326,10.9856135,36.09936799,0.42134124,,18,,,,,2023-07-20,2026-08-19
"SET2 - MBA",6729393132997,25-34,male,not_delivering,ad,38240,52126,1.36312762,"7-day click or 1-day view","Messaging conversations started",12,3390.56,282.54666667,2025-05-25,Ongoing,123,27.56552846,65.04546675,0.44507539,,12,,,,,2023-07-20,2026-08-19
SET1,6715762376997,25-34,female,archived,ad,67072,150192,2.23926527,"7-day click or 1-day view","Messaging conversations started",40,3346.57,83.66425,2025-05-13,Ongoing,277,12.08148014,22.28194578,0.30694045,,40,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,18-24,male,not_delivering,ad,65024,127326,1.95813853,"7-day click or 1-day view","Messaging conversations started",23,3272.8,142.29565217,2026-01-31,Ongoing,498,6.57188755,25.70409814,0.47437287,,23,,,,,2023-07-20,2026-08-19
SET1,6715760430597,18-24,male,not_delivering,ad,55360,98326,1.77611994,"7-day click or 1-day view","Messaging conversations started",25,3258.91,130.3564,2025-05-13,Ongoing,184,17.71146739,33.14392938,0.31629477,,25,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,35-44,female,not_delivering,ad,33472,63316,1.8916109,"7-day click or 1-day view","Messaging conversations started",25,3030.22,121.2088,2026-01-31,Ongoing,250,12.12088,47.85867711,0.52435403,,25,,,,,2023-07-20,2026-08-19
"ad set 1",6861114057597,18-24,female,not_delivering,ad,61440,116310,1.89306641,"7-day click or 1-day view","Messaging conversations started",22,2925.43,132.97409091,2026-01-31,Ongoing,467,6.26430407,25.15200757,0.46685582,,22,,,,,2023-07-20,2026-08-19
SET1,6715760430597,25-34,male,not_delivering,ad,28800,51258,1.77979167,"7-day click or 1-day view","Messaging conversations started",24,2893.54,120.56416667,2025-05-13,Ongoing,120,24.11283333,56.45050529,0.40969215,,24,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089797,Unknown,unknown,active,ad,1149728,1150228,1.00043489,"7-day click or 1-day view","Messaging conversations started",601,2766.38,4.60296173,2026-07-01,Ongoing,8583,0.32230922,2.40507099,0.86852346,,601,,,,,2023-07-20,2026-08-19
SET1,6724323110397,18-24,male,not_delivering,ad,51520,83832,1.62717391,"7-day click or 1-day view","Messaging conversations started",9,2663.52,295.94666667,2025-05-20,Ongoing,196,13.58938776,31.77211566,0.3351942,,9,,,,,2023-07-20,2026-08-19
"Ad set 1",6976611089797,35-44,female,active,ad,29184,50963,1.74626508,"7-day click or 1-day view","Messaging conversations started",27,2503.2,92.71111111,2026-07-01,Ongoing,191,13.10575916,49.11798756,0.49447638,,27,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6804632076397,18-24,male,not_delivering,ad,63904,102287,1.60063533,"7-day click or 1-day view","Messaging conversations started",3,2502.72,834.24,2025-09-07,Ongoing,199,12.57648241,24.46762541,0.26885137,,3,,,,,2023-07-20,2026-08-19
"SET2 - MBA",6729393132997,18-24,male,not_delivering,ad,35744,53125,1.48626343,"7-day click or 1-day view","Messaging conversations started",9,2495.29,277.25444444,2025-05-25,Ongoing,135,18.48362963,46.97016471,0.40658824,,9,,,,,2023-07-20,2026-08-19
SET1,6715760430597,18-24,female,not_delivering,ad,43808,76023,1.73536797,"7-day click or 1-day view","Messaging conversations started",19,2471.81,130.09526316,2025-05-13,Ongoing,121,20.42818182,32.51397603,0.32227089,,19,,,,,2023-07-20,2026-08-19
"Ad set 1",6989198212397,25-34,male,active,ad,56480,78019,1.38135623,"7-day click or 1-day view","Messaging conversations started",18,2441.44,135.63555556,2026-07-01,Ongoing,324,7.53530864,31.29289019,0.50756867,,18,,,,,2023-07-20,2026-08-19
SET1,6729387108797,25-34,male,not_delivering,ad,22192,41680,1.87815429,"7-day click or 1-day view","Messaging conversations started",12,2418.39,201.5325,2025-05-19,Ongoing,115,21.02947826,58.02279271,0.50383877,,12,,,,,2023-07-20,2026-08-19
"Ad set 1",6990852904797,35-44,male,active,ad,67072,97181,1.44890565,"7-day click or 1-day view","Messaging conversations started",59,2383.2,40.39322034,2026-07-01,Ongoing,1069,2.22937325,24.52331217,1.29037569,,59,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6805961224197,18-24,male,not_delivering,ad,34960,54867,1.5694222,"7-day click or 1-day view","Messaging conversations started",30,2318.45,77.28166667,2025-09-07,Ongoing,100,23.1845,42.25581862,0.3025498,,30,,,,,2023-07-20,2026-08-19
"SET2 - MBA",6729393133197,25-34,male,not_delivering,ad,17904,28127,1.57098972,"7-day click or 1-day view","Messaging conversations started",20,2253.29,112.6645,2025-05-25,Ongoing,104,21.66625,80.11128098,0.57595904,,20,,,,,2023-07-20,2026-08-19
SET1,6724323110397,18-24,female,not_delivering,ad,38688,67866,1.75418734,"7-day click or 1-day view","Messaging conversations started",14,2198.14,157.01,2025-05-20,Ongoing,132,16.65257576,32.38941443,0.28585742,,14,,,,,2023-07-20,2026-08-19
SET1,6732747696197,18-24,male,not_delivering,ad,38240,63173,1.6520136,"7-day click or 1-day view","Messaging conversations started",24,2195.38,91.47416667,2025-05-13,Ongoing,150,14.63586667,34.75187184,0.36566255,,24,,,,,2023-07-20,2026-08-19
"New Engagement ad set",6805961224197,25-34,male,not_delivering,ad,22800,34265,1.50285088,"7-day click or 1-day view","Messaging conversations started",20,2079.09,103.9545,2025-09-07,Ongoing,55,37.80163636,60.67678389,0.29476142,,20,,,,,2023-07-20,2026-08-19
SET1,6724323110397,25-34,male,not_delivering,ad,24384,40172,1.64747375,"7-day click or 1-day view","Messaging conversations started",10,2049.95,204.995,2025-05-20,Ongoing,93,22.04247312,51.02932391,0.36094792,,10,,,,,2023-07-20,2026-08-19
"SET2 - MBA",6729393132597,25-34,male,not_delivering,ad,19152,27419,1.43165205,"7-day click or 1-day view","Messaging conversations started",7,2016.34,288.04857143,2025-05-25,Ongoing,56,36.00607143,73.53805755,0.41212298,,7,,,,,2023-07-20,2026-08-19
